Date,Open,High,Low,Close,Adj Close,Volume
2021-07-07,52.000000,52.169998,50.689999,51.180000,43.352844,4501859
2021-07-08,50.660000,50.660000,49.360001,49.715000,42.111893,5747985
2021-07-09,50.000000,50.930000,49.715000,50.930000,43.141083,4085902
2021-07-12,50.889999,51.250000,49.799999,51.040001,43.234257,2984435
2021-07-13,51.270000,51.529999,50.619999,50.830002,43.056377,3446871
2021-07-14,50.810001,51.619999,50.639999,51.139999,43.318966,2325622
2021-07-15,50.900002,50.939999,50.270000,50.720001,42.963196,2379431
2021-07-16,51.040001,51.119999,49.575001,49.880001,42.251659,3241591
2021-07-19,49.095001,49.395000,47.314999,47.790001,40.481293,5356223
2021-07-20,48.185001,48.980000,47.650002,48.695000,41.247887,3413038
2021-07-21,48.820000,50.340000,48.415001,50.230000,42.548134,3378416
2021-07-22,50.430000,51.060001,49.974998,49.980000,42.336365,2795497
2021-07-23,50.360001,51.009998,50.009998,50.570000,42.836136,2172496
2021-07-26,50.299999,51.830002,49.595001,51.709999,43.801792,2908078
2021-07-27,51.490002,51.490002,50.500000,51.240002,43.403675,2848419
2021-07-28,51.540001,51.750000,50.889999,51.160000,43.335907,2060979
2021-07-29,51.049999,52.360001,51.000000,52.070000,44.106735,2685256
2021-07-30,53.009998,53.139999,51.230000,51.450001,43.581554,4458532
2021-08-02,51.970001,52.169998,50.770000,50.950001,43.158020,2599987
2021-08-03,51.660000,51.860001,50.790001,51.400002,43.539204,2875971
2021-08-04,51.680000,52.150002,51.220001,52.009998,44.055912,2506064
2021-08-05,52.110001,52.520000,51.540001,52.410000,44.394733,2298270
2021-08-06,52.400002,54.169998,51.980000,54.000000,45.741573,3701453
2021-08-09,54.169998,54.250000,53.610001,54.209999,45.919453,1974824
2021-08-10,54.200001,54.250000,53.380001,54.020000,45.758514,1890728
2021-08-11,54.220001,54.990002,53.840000,54.770000,46.393814,2531344
2021-08-12,54.810001,54.840000,54.270000,54.320000,46.012634,2278648
2021-08-13,54.400002,54.860001,54.080002,54.380001,46.063457,1742758
2021-08-16,53.820000,54.320000,53.500000,53.849998,45.614513,2128681
2021-08-17,53.630001,53.630001,52.619999,52.860001,44.775917,2849085
2021-08-18,52.779999,53.380001,52.290001,53.340000,45.182507,2115489
2021-08-19,52.099998,52.639999,51.430000,51.910000,43.971203,3477745
2021-08-20,51.820000,52.160000,51.410000,52.099998,44.132145,2451722
2021-08-23,52.810001,52.939999,52.389999,52.709999,44.648857,2377260
2021-08-24,53.049999,53.139999,52.430000,53.070000,44.953800,2017813
2021-08-25,53.150002,54.169998,52.930000,54.150002,45.868633,2308781
2021-08-26,53.900002,54.169998,53.400002,53.669998,45.462040,2032561
2021-08-27,53.630001,53.660000,52.900002,53.459999,45.284153,1772273
2021-08-30,53.560001,53.740002,52.820000,53.000000,44.894505,1632868
2021-08-31,52.959999,53.750000,52.860001,53.730000,45.512863,3752715
2021-09-01,54.240002,55.150002,54.130001,54.799999,46.419224,3468246
2021-09-02,54.720001,54.889999,54.180000,54.799999,46.419224,2563213
2021-09-03,54.529999,54.700001,53.599998,53.869999,45.631451,2247047
2021-09-06,53.869999,54.320000,53.700001,54.119999,45.843216,1415624
2021-09-07,54.110001,54.660000,53.959999,54.330002,46.021107,2128400
2021-09-08,54.000000,54.080002,53.060001,53.500000,45.318039,2849163
2021-09-09,53.310001,54.020000,52.820000,53.740002,45.521336,2585889
2021-09-10,53.549999,54.020000,52.529999,52.820000,44.742031,2921666
2021-09-13,53.250000,54.180000,53.169998,54.020000,45.758514,2742693
2021-09-14,53.799999,54.169998,53.060001,53.389999,45.224861,2609909
2021-09-15,53.389999,54.000000,53.189999,53.630001,45.428158,3737528
2021-09-16,54.000000,54.869999,53.790001,54.160000,45.877102,2654428
2021-09-17,54.540001,54.810001,53.540001,53.540001,45.351921,7193199
2021-09-20,52.349998,52.400002,50.419998,51.150002,43.327438,6340308
2021-09-21,51.430000,52.259998,51.139999,51.360001,43.505318,3559610
2021-09-22,52.349998,53.389999,52.180000,53.160000,45.030037,3130687
2021-09-23,53.880001,54.529999,53.590000,54.360001,46.046516,3271987
2021-09-24,54.430000,54.869999,53.970001,54.799999,46.419224,2790943
2021-09-27,55.150002,56.500000,54.820000,56.500000,47.859238,4142484
2021-09-28,55.230000,55.500000,54.430000,54.840000,47.763432,6204607
2021-09-29,55.070000,55.439999,54.250000,55.259998,48.129234,3008697
2021-09-30,55.720001,55.959999,55.110001,55.439999,48.286007,4578672
2021-10-01,54.230000,54.990002,53.880001,54.889999,47.806980,3262085
2021-10-04,54.869999,55.270000,54.060001,54.369999,47.354080,2174187
2021-10-05,54.450001,56.880001,54.330002,56.880001,49.540192,3433936
2021-10-06,56.639999,56.880001,55.480000,56.200001,48.947941,3120919
2021-10-07,56.799999,57.919998,56.029999,57.090000,49.723091,4022752
2021-10-08,56.930000,57.490002,56.860001,57.000000,49.644707,2512322
2021-10-11,57.000000,57.779999,56.959999,57.330002,49.932125,2173487
2021-10-12,56.500000,57.279999,56.270000,57.189999,49.810188,1991495
2021-10-13,57.099998,57.290001,55.830002,56.360001,49.087292,2570059
2021-10-14,56.529999,57.150002,56.130001,56.630001,49.322449,2301934
2021-10-15,57.160000,58.450001,57.160000,57.750000,50.297928,3628158
2021-10-18,58.000000,58.560001,57.750000,58.009998,50.524376,2531950
2021-10-19,57.740002,58.330002,57.529999,58.099998,50.602757,1632341
